,Experience (YY.MM),Age in YY.,Stay/Left,New Location,New Promotion,New Job Role Match,Agency,Direct,Employee Referral,Marr.,Single,other status,B1,B2,B3,other group,< =1,> 1 & < =3,Operation,Sales,Support,Female,Male,other
1,13.0,38.08,Stay,6,1,0,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False
2,16.05,36.04,Stay,5,1,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
3,6.06,32.07,Stay,6,1,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
4,7.0,32.05,Stay,1,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
5,9.01,39.09,Stay,5,1,0,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
6,5.02,28.02,Stay,3,1,0,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
7,5.11,30.11,Left,5,1,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
8,6.04,33.05,Left,5,1,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
9,10.01,41.06,Stay,7,1,1,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
10,0.1,27.1,Left,6,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
11,9.08,34.09,Stay,6,1,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
12,6.03,30.01,Left,4,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
13,6.09,32.07,Left,0,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
14,11.02,39.07,Stay,2,1,0,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
15,5.02,26.07,Stay,7,1,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
16,5.02,27.1,Left,0,1,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
17,5.02,36.03,Left,1,1,0,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
18,4.09,31.09,Left,6,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
19,5.1,27.08,Stay,5,1,1,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
20,4.03,27.07,Left,4,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
21,0.03,21.05,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
22,1.1,24.1,Stay,0,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
23,3.03,28.08,Stay,4,1,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
24,11.02,39.06,Stay,4,0,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
25,4.04,29.02,Left,4,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
26,8.04,30.07,Stay,5,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
27,8.03,35.07,Stay,5,1,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
29,5.03,27.03,Left,7,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
30,1.0,23.03,Left,7,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
31,3.11,26.05,Stay,7,1,0,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
32,6.1,32.04,Stay,7,0,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
33,4.03,28.12,Left,4,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
34,7.04,32.02,Stay,6,0,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
35,9.07,36.04,Left,6,1,0,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
36,6.1,32.04,Left,6,0,1,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
37,2.04,26.07,Left,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
38,9.04,38.07,Stay,4,1,1,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
39,2.03,30.06,Stay,4,1,0,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
40,15.04,43.0,Stay,5,1,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
41,0.04,25.06,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
42,1.08,26.07,Left,5,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
43,5.04,27.05,Left,7,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
44,3.04,26.03,Left,7,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
45,10.04,37.0,Stay,6,0,0,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
46,3.07,33.1,Stay,5,1,0,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
47,0.1,23.06,Left,6,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
48,12.05,39.08,Left,7,0,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
49,2.01,26.02,Stay,0,1,1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False
50,1.01,24.02,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
51,1.06,25.04,Stay,6,0,1,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
52,1.02,23.08,Stay,6,0,1,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
53,0.04,22.03,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
54,6.05,36.07,Stay,6,1,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
55,2.11,25.01,Stay,7,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
56,12.05,37.07,Stay,6,1,0,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
57,3.05,24.04,Left,7,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
58,4.09,30.04,Stay,7,1,0,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
59,12.05,40.07,Stay,2,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
60,4.06,27.07,Left,3,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
61,1.03,23.11,Left,5,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
62,8.06,31.02,Stay,3,1,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
63,6.06,30.03,Stay,6,0,1,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
64,3.04,28.06,Stay,3,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
65,1.07,24.03,Left,6,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
66,17.06,41.04,Stay,7,1,0,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
67,6.06,29.05,Stay,5,1,1,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
68,3.1,25.04,Stay,7,1,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
69,1.05,23.1,Stay,7,1,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
70,5.0,28.01,Left,3,1,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
71,6.03,28.08,Stay,7,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
72,2.11,27.06,Left,0,1,0,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
73,8.06,33.03,Stay,4,0,1,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
74,6.1,29.1,Stay,5,1,0,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
75,5.11,27.02,Left,6,1,0,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
76,15.06,36.02,Stay,5,1,0,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False
77,5.03,26.07,Left,3,0,1,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
78,10.06,33.0,Stay,5,0,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
79,6.07,28.06,Stay,3,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
80,8.06,31.05,Stay,3,1,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
81,4.11,25.02,Left,3,1,0,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
82,3.06,27.06,Stay,3,0,1,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
83,0.09,27.1,Stay,0,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
84,12.07,35.12,Stay,6,1,0,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False
86,7.06,34.07,Stay,5,1,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
87,2.07,27.09,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
88,13.1,36.07,Stay,5,0,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False
89,1.09,24.08,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
90,8.01,36.1,Left,6,1,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
91,0.07,26.07,Left,7,0,0,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
92,5.07,29.1,Stay,6,1,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
93,12.07,38.09,Stay,5,0,0,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False
94,10.07,41.0,Stay,5,1,1,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True
95,5.01,25.09,Left,6,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
96,9.07,37.1,Left,6,1,0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False
97,3.07,25.07,Left,3,1,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
98,5.01,28.06,Stay,6,0,1,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
99,2.06,24.1,Left,5,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
100,7.07,33.08,Stay,7,1,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
101,3.02,27.07,Stay,7,1,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
102,9.08,36.06,Stay,4,1,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
103,9.11,35.08,Stay,6,1,0,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
104,6.08,28.02,Left,5,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
105,7.08,30.04,Left,6,1,0,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
106,4.1,29.05,Left,5,1,0,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
107,4.01,27.07,Left,5,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
